"date","topology","bias","max_generations","max_per_generation","log"
"","","","","","Individuo 5 | Fitness 1.8749484075950078 | Fit Err 1.7576970161374517"
"","","","","","Individuo 6 | Fitness 2.660643369895861 | Fit Err 3.5394849645017024"
"","","","","","Individuo 7 | Fitness 0.7318828655610431 | Fit Err 0.2678189456722664"
"","","","","","Individuo 8 | Fitness 2.12481271866487 | Fit Err 2.2573932966228116"
"","","","","","Individuo 9 | Fitness 1.7453819515820839 | Fit Err 1.523161624684726"
"","","","","","Best fitness: 0.7318828655610431"
"","","","","","Geracao: 7 de 1000"
"","","","","","Individuo 0 | Fitness 1.1214506334822383 | Fit Err 0.6288145472125218"
"","","","","","Individuo 1 | Fitness 2.2460257485120825 | Fit Err 2.522293371282145"
"","","","","","Individuo 2 | Fitness 0.5979740808014774 | Fit Err 0.17878052096437794"
"","","","","","Individuo 3 | Fitness 2.2491914336406125 | Fit Err 2.52940856071682"
"","","","","","Individuo 4 | Fitness 0.8782014420876699 | Fit Err 0.3856101044780107"
"","","","","","Individuo 5 | Fitness 2.300994955361804 | Fit Err 2.647265882400682"
"","","","","","Individuo 6 | Fitness 1.1354708120280768 | Fit Err 0.6446356278257297"
"","","","","","Individuo 7 | Fitness 1.8202812343926367 | Fit Err 1.6566936833786465"
"","","","","","Individuo 8 | Fitness 2.0098412101458734 | Fit Err 2.019710746638213"
"","","","","","Individuo 9 | Fitness 0.8454802462812598 | Fit Err 0.3574099686734471"
"","","","","","Best fitness: 0.5979740808014774"
"","","","","","Geracao: 8 de 1000"
"","","","","","Individuo 0 | Fitness 1.6070818378425238 | Fit Err 1.2913399459932735"
"","","","","","Individuo 1 | Fitness 2.1732871950516475 | Fit Err 2.361566883265778"
"","","","","","Individuo 2 | Fitness 2.4328929993898383 | Fit Err 2.959459844360048"
"","","","","","Individuo 3 | Fitness 2.580967867947888 | Fit Err 3.3306717580610536"
"","","","","","Individuo 4 | Fitness 2.429302510083228 | Fit Err 2.950731049773235"
"","","","","","Individuo 5 | Fitness 2.2845823287690177 | Fit Err 2.6096353626885462"
"","","","","","Individuo 6 | Fitness 2.709574060674806 | Fit Err 3.6708686994502715"
"","","","","","Individuo 7 | Fitness 0.6213249424722987 | Fit Err 0.19301612886967798"
"","","","","","Individuo 8 | Fitness 1.055394597959977 | Fit Err 0.5569183248055711"
"","","","","","Individuo 9 | Fitness 1.4618640637307196 | Fit Err 1.0685086518230094"
"","","","","","Best fitness: 0.6213249424722987"
"","","","","","Geracao: 9 de 1000"
"","","","","","Individuo 0 | Fitness 1.6015498782957733 | Fit Err 1.28246499088582"
"","","","","","Individuo 1 | Fitness 1.7151874314591637 | Fit Err 1.4709168106934272"
"","","","","","Individuo 2 | Fitness 2.4427532477412788 | Fit Err 2.983497287192805"
"","","","","","Individuo 3 | Fitness 0.5483399703285572 | Fit Err 0.15033287818025823"
"","","","","","Individuo 4 | Fitness 1.6290632155757117 | Fit Err 1.326907189588783"
"","","","","","Individuo 5 | Fitness 2.5372422360049236 | Fit Err 3.218773709711272"
"","","","","","Individuo 6 | Fitness 2.513365852748543 | Fit Err 3.158478821272678"
"","","","","","Individuo 7 | Fitness 0.5880002607412284 | Fit Err 0.17286627336326887"
"","","","","","Individuo 8 | Fitness 1.476409968671685 | Fit Err 1.089878433746876"
"","","","","","Individuo 9 | Fitness 1.8566775062628105 | Fit Err 1.7236071144060816"
"","","","","","Best fitness: 0.5483399703285572"
"","","","","","Geracao: 10 de 1000"
"","","","","","Individuo 0 | Fitness 1.31205183118445 | Fit Err 0.8607268833889223"
"","","","","","Individuo 1 | Fitness 1.0536607139143461 | Fit Err 0.5550899134661056"
"","","","","","Individuo 2 | Fitness 1.2598097517495557 | Fit Err 0.7935477072541209"
"","","","","","Individuo 3 | Fitness 1.386698972170737 | Fit Err 0.9614531527699675"
"","","","","","Individuo 4 | Fitness 1.589915927825983 | Fit Err 1.2639004296680996"
"","","","","","Individuo 5 | Fitness 1.736296995105113 | Fit Err 1.5073462646855713"
"","","","","","Individuo 6 | Fitness 1.9098536992778747 | Fit Err 1.8237514778356985"
"","","","","","Individuo 7 | Fitness 1.4768096367677932 | Fit Err 1.0904685835787429"
"","","","","","Individuo 8 | Fitness 1.5294951170181634 | Fit Err 1.1696623615900323"
"","","","","","Individuo 9 | Fitness 1.984900024427474 | Fit Err 1.969894204535849"
"","","","","","Best fitness: 1.0536607139143461"
"","","","","","Geracao: 11 de 1000"
"","","","","","Individuo 0 | Fitness 1.9679394495980904 | Fit Err 1.9363731592977214"
"","","","","","Individuo 1 | Fitness 1.4394689692108176 | Fit Err 1.0360210620207346"
"","","","","","Individuo 2 | Fitness 1.3048254293857435 | Fit Err 0.851271652381551"
"","","","","","Individuo 3 | Fitness 1.2623041522059446 | Fit Err 0.7966932633466621"
"","","","","","Individuo 4 | Fitness 1.2027066152740924 | Fit Err 0.723239574195879"
"","","","","","Individuo 5 | Fitness 1.4452357791215387 | Fit Err 1.044338776318729"
"","","","","","Individuo 6 | Fitness 1.4936950976001335 | Fit Err 1.1155475853963601"
"","","","","","Individuo 7 | Fitness 1.6815315835816032 | Fit Err 1.4137574180253911"
"","","","","","Individuo 8 | Fitness 1.8379774651471217 | Fit Err 1.689062201469668"
"","","","","","Individuo 9 | Fitness 1.5364694491670248 | Fit Err 1.1803538194673184"
"","","","","","Best fitness: 1.2027066152740924"
"","","","","","Geracao: 12 de 1000"
"","","","","","Individuo 0 | Fitness 0.9850132297711913 | Fit Err 0.48511568132983923"
"","","","","","Individuo 1 | Fitness 0.5904143551497086 | Fit Err 0.17428865128987167"
"","","","","","Individuo 2 | Fitness 0.6666003959515406 | Fit Err 0.2221713779874159"
"","","","","","Individuo 3 | Fitness 0.8403238851515086 | Fit Err 0.3530637127892114"
"","","","","","Individuo 4 | Fitness 0.8188039637417022 | Fit Err 0.335211777529924"
"","","","","","Individuo 5 | Fitness 0.6404802657386415 | Fit Err 0.20510108064766305"
"","","","","","Individuo 6 | Fitness 0.7629171558845268 | Fit Err 0.2910136642499089"
"","","","","","Individuo 7 | Fitness 0.871942425206489 | Fit Err 0.3801330770632348"
"","","","","","Individuo 8 | Fitness 0.7728963228393239 | Fit Err 0.2986766340160458"
"","","","","","Individuo 9 | Fitness 0.7488904296129721 | Fit Err 0.28041094892865487"
"","","","","","Best fitness: 0.5904143551497086"
"","","","","","Geracao: 13 de 1000"
"","","","","","Individuo 0 | Fitness 0.5319744419394362 | Fit Err 0.14149308374396793"
"","","","","","Individuo 1 | Fitness 0.3888054055685518 | Fit Err 0.07558093369560734"
"","","","","","Individuo 2 | Fitness 0.6173726242723928 | Fit Err 0.19056830492424787"
"","","","","","Individuo 3 | Fitness 0.6999849738030063 | Fit Err 0.2449824819752597"
"","","","","","Individuo 4 | Fitness 0.5770414395215276 | Fit Err 0.16648264109814323"
"","","","","","Individuo 5 | Fitness 0.5536956850843732 | Fit Err 0.15328391893367585"
"","","","","","Individuo 6 | Fitness 0.5896690295587875 | Fit Err 0.17384888557010555"
"","","","","","Individuo 7 | Fitness 0.6182812015230823 | Fit Err 0.19112963931639795"
"","","","","","Individuo 8 | Fitness 0.6180649326230077 | Fit Err 0.1909959498698153"
"","","","","","Individuo 9 | Fitness 0.6807855887883583 | Fit Err 0.23172770114506797"
"","","","","","Best fitness: 0.3888054055685518"
"","","","","","Geracao: 14 de 1000"
"","","","","","Individuo 0 | Fitness 0.45918516712111807 | Fit Err 0.10542091705035335"
"","","","","","Individuo 1 | Fitness 0.4544854489989746 | Fit Err 0.10327396687140977"
"","","","","","Individuo 2 | Fitness 0.501355868110744 | Fit Err 0.12567383973585775"
"","","","","","Individuo 3 | Fitness 0.22684561566258954 | Fit Err 0.025727198266513016"
"","","","","","Individuo 4 | Fitness 0.303300009153758 | Fit Err 0.0459924148262433"
"","","","","","Individuo 5 | Fitness 0.3077772902209766 | Fit Err 0.047360352464981416"
"","","","","","Individuo 6 | Fitness 0.38028357162565446 | Fit Err 0.07230399463846587"
"","","","","","Individuo 7 | Fitness 0.3797235137871874 | Fit Err 0.07209117627630626"
"","","","","","Individuo 8 | Fitness 0.40438645883594887 | Fit Err 0.08176016023035092"
"","","","","","Individuo 9 | Fitness 0.44640888212473717 | Fit Err 0.09963598098110749"
"","","","","","Best fitness: 0.22684561566258954"
"","","","","","Geracao: 15 de 1000"
"","","","","","Individuo 0 | Fitness 0.2563957419093427 | Fit Err 0.032866824327202046"
"","","","","","Individuo 1 | Fitness 0.2126546871368956 | Fit Err 0.0226088814837741"
"","","","","","Individuo 2 | Fitness 0.3651621755559159 | Fit Err 0.06666805565660922"
"","","","","","Individuo 3 | Fitness 0.3349366668194883 | Fit Err 0.05608793607340626"
"","","","","","Individuo 4 | Fitness 0.20288788925718476 | Fit Err 0.02057971897472526"
"","","","","","Individuo 5 | Fitness 0.20984172064600592 | Fit Err 0.022014675494631732"
"","","","","","Individuo 6 | Fitness 0.29331517780697824 | Fit Err 0.04301396366419156"
"","","","","","Individuo 7 | Fitness 0.2722350555588805 | Fit Err 0.037053240437017784"
"","","","","","Individuo 8 | Fitness 0.2867453155004887 | Fit Err 0.041108570577582396"
"","","","","","Individuo 9 | Fitness 0.2632372654084119 | Fit Err 0.03464429662719526"
"","","","","","Best fitness: 0.20288788925718476"
"","","","","","Geracao: 16 de 1000"
"","","","","","Individuo 0 | Fitness 0.1982429270257546 | Fit Err 0.019648146678599075"
"","","","","","Individuo 1 | Fitness 0.21966399891768315 | Fit Err 0.024123939620264774"
"","","","","","Individuo 2 | Fitness 0.17111294930782928 | Fit Err 0.014638109630918796"
"","","","","","Individuo 3 | Fitness 0.1598124867661057 | Fit Err 0.012768417388315694"
"","","","","","Individuo 4 | Fitness 0.25618219101997797 | Fit Err 0.03281209572598804"
"","","","","","Individuo 5 | Fitness 0.21999233122378617 | Fit Err 0.02419611302532578"
"","","","","","Individuo 6 | Fitness 0.21882847293200416 | Fit Err 0.02394076204814712"
"","","","","","Individuo 7 | Fitness 0.19827340224717394 | Fit Err 0.019654188335312347"
"","","","","","Individuo 8 | Fitness 0.24335262672773236 | Fit Err 0.02960781699137624"
"","","","","","Individuo 9 | Fitness 0.208870927730532 | Fit Err 0.021811443566229254"
"","","","","","Best fitness: 0.1598124867661057"
"","","","","","Geracao: 17 de 1000"
"","","","","","Individuo 0 | Fitness 0.19732492547865463 | Fit Err 0.019466589908323513"
"","","","","","Individuo 1 | Fitness 0.160567520593572 | Fit Err 0.012889358709577645"
"","","","","","Individuo 2 | Fitness 0.14537335735181803 | Fit Err 0.010565252830296173"
"","","","","","Individuo 3 | Fitness 0.1670975095330236 | Fit Err 0.013959117920974125"
"","","","","","Individuo 4 | Fitness 0.1859734724086866 | Fit Err 0.017291206535148172"
"","","","","","Individuo 5 | Fitness 0.16491751250399947 | Fit Err 0.01359724384012837"
"","","","","","Individuo 6 | Fitness 0.14740746764625906 | Fit Err 0.010863006734264992"
"","","","","","Individuo 7 | Fitness 0.149917417916452 | Fit Err 0.011236116973188895"
"","","","","","Individuo 8 | Fitness 0.14972851458765474 | Fit Err 0.01120781680516689"
"","","","","","Individuo 9 | Fitness 0.3079903159653612 | Fit Err 0.047425937511061854"
"","","","","","Best fitness: 0.14537335735181803"
"","","","","","Geracao: 18 de 1000"
"","","","","","Individuo 0 | Fitness 0.17362576510919273 | Fit Err 0.015071216947225189"
"","","","","","Individuo 1 | Fitness 0.14779495664974215 | Fit Err 0.010920196705983083"
"","","","","","Individuo 2 | Fitness 0.12425545402682209 | Fit Err 0.007718466423165581"
"","","","","","Individuo 3 | Fitness 0.14671192282861117 | Fit Err 0.010760727080805893"
"","","","","","Individuo 4 | Fitness 0.13251528111578934 | Fit Err 0.008778824761787178"
"","","","","","Individuo 5 | Fitness 0.15275625065620876 | Fit Err 0.011665708544764676"
"","","","","","Individuo 6 | Fitness 0.14323755118869286 | Fit Err 0.010257065709754815"
"","","","","","Individuo 7 | Fitness 0.15021279032811657 | Fit Err 0.011280439111176073"
"","","","","","Individuo 8 | Fitness 0.17120061840428238 | Fit Err 0.014653113914820312"
"","","","","","Individuo 9 | Fitness 0.15905516029177938 | Fit Err 0.012647681506118896"
"","","","","","Best fitness: 0.12425545402682209"
"","","","","","Geracao: 19 de 1000"
"","","","","","Individuo 0 | Fitness 0.13185737155202656 | Fit Err 0.00869186469258907"
"","","","","","Individuo 1 | Fitness 0.11924119900819741 | Fit Err 0.007108039408466188"
"","","","","","Individuo 2 | Fitness 0.1318321911321879 | Fit Err 0.008688545037445537"
"","","","","","Individuo 3 | Fitness 0.11215322480699959 | Fit Err 0.006288051435056625"
"","","","","","Individuo 4 | Fitness 0.13158949528048394 | Fit Err 0.008656581789133446"
"","","","","","Individuo 5 | Fitness 0.12642393851200617 | Fit Err 0.007990241925058638"
"","","","","","Individuo 6 | Fitness 0.1161130392259138 | Fit Err 0.00673995785874704"
"","","","","","Individuo 7 | Fitness 0.12680403067838392 | Fit Err 0.00803836310783548"
"","","","","","Individuo 8 | Fitness 0.12859361154859342 | Fit Err 0.008266872579439782"
"","","","","","Individuo 9 | Fitness 0.14587474130498546 | Fit Err 0.010638261377985164"
"","","","","","Best fitness: 0.11215322480699959"
"","","","","","Geracao: 20 de 1000"
"","","","","","Individuo 0 | Fitness 0.11524399072066698 | Fit Err 0.006639436308705382"
"","","","","","Individuo 1 | Fitness 0.11489083681679685 | Fit Err 0.006598803333863754"
"","","","","","Individuo 2 | Fitness 0.11692622955373713 | Fit Err 0.006834702366531079"
"","","","","","Individuo 3 | Fitness 0.11443132235787887 | Fit Err 0.006546119505062816"
"","","","","","Individuo 4 | Fitness 0.11343554139504283 | Fit Err 0.006432676720379288"
"","","","","","Individuo 5 | Fitness 0.1718283491666342 | Fit Err 0.014760772555173711"
"","","","","","Individuo 6 | Fitness 0.11081477532781592 | Fit Err 0.006138849117723882"
"","","","","","Individuo 7 | Fitness 0.10777615102054608 | Fit Err 0.005806771652891573"
"","","","","","Individuo 8 | Fitness 0.12428243183764823 | Fit Err 0.007721818657421463"
"","","","","","Individuo 9 | Fitness 0.10673655640615522 | Fit Err 0.005695278921158116"
"","","","","","Best fitness: 0.10673655640615522"
"","","","","","Geracao: 21 de 1000"
"","","","","","Individuo 0 | Fitness 0.10371044451673014 | Fit Err 0.005376891096483714"
"","","","","","Individuo 1 | Fitness 0.10443176737382023 | Fit Err 0.005451952750736114"
"","","","","","Individuo 2 | Fitness 0.10105349309657267 | Fit Err 0.0051048937485785656"
"","","","","","Individuo 3 | Fitness 0.10684674474776248 | Fit Err 0.005707045014149278"
"","","","","","Individuo 4 | Fitness 0.1073400017094198 | Fit Err 0.005759864633472029"
"","","","","","Individuo 5 | Fitness 0.10527914395613971 | Fit Err 0.005540796334629234"
"","","","","","Individuo 6 | Fitness 0.11820742650497246 | Fit Err 0.0069853158161991835"
"","","","","","Individuo 7 | Fitness 0.10358842969968063 | Fit Err 0.005364245549525842"
"","","","","","Individuo 8 | Fitness 0.13245736469178063 | Fit Err 0.008771152206898768"
"","","","","","Individuo 9 | Fitness 0.10743788361544086 | Fit Err 0.005770375089046354"
"","","","","","Best fitness: 0.10105349309657267"
"","","","","","Geracao: 22 de 1000"
"","","","","","Individuo 0 | Fitness 0.1040195886400762 | Fit Err 0.005408997264538934"
"","","","","","Individuo 1 | Fitness 0.11083507366988732 | Fit Err 0.006141098476967976"
"","","","","","Individuo 2 | Fitness 0.1047223407962033 | Fit Err 0.005482337157510111"
"","","","","","Individuo 3 | Fitness 0.0964840594263043 | Fit Err 0.004653622071095047"
"","","","","","Individuo 4 | Fitness 0.09715108974334533 | Fit Err 0.004718195658262336"
"","","","","","Individuo 5 | Fitness 0.10206375238173714 | Fit Err 0.005207484187596459"
"","","","","","Individuo 6 | Fitness 0.0974231961150958 | Fit Err 0.004744665388679058"
"","","","","","Individuo 7 | Fitness 0.09751512230661728 | Fit Err 0.004753624438014198"
"","","","","","Individuo 8 | Fitness 0.09548086647881536 | Fit Err 0.004557343173107895"
"","","","","","Individuo 9 | Fitness 0.09535456627420781 | Fit Err 0.004545293159008403"
"","","","","","Best fitness: 0.09535456627420781"
"","","","","","Geracao: 23 de 1000"
"","","","","","Individuo 0 | Fitness 0.09197140575852773 | Fit Err 0.004228450074542289"
"","","","","","Individuo 1 | Fitness 0.09877281960258259 | Fit Err 0.004877047267926137"
"","","","","","Individuo 2 | Fitness 0.09786709299550572 | Fit Err 0.0047880053247655275"
"","","","","","Individuo 3 | Fitness 0.09710175507980194 | Fit Err 0.004713404452238124"
"","","","","","Individuo 4 | Fitness 0.10071879490998115 | Fit Err 0.005071130686110322"
"","","","","","Individuo 5 | Fitness 0.09564551083635504 | Fit Err 0.004573075466465292"
"","","","","","Individuo 6 | Fitness 0.09513945207659594 | Fit Err 0.004524806326196682"
"","","","","","Individuo 7 | Fitness 0.09616809421597991 | Fit Err 0.004623189541624635"
"","","","","","Individuo 8 | Fitness 0.10218613289028526 | Fit Err 0.005219981066206617"
"","","","","","Individuo 9 | Fitness 0.09534463893818577 | Fit Err 0.004544346690737124"
"","","","","","Best fitness: 0.09197140575852773"
"","","","","","Geracao: 24 de 1000"
"","","","","","Individuo 0 | Fitness 0.09537248363366517 | Fit Err 0.004547001642390529"
"","","","","","Individuo 1 | Fitness 0.09981200511811125 | Fit Err 0.0049802201127977525"
"","","","","","Individuo 2 | Fitness 0.09811310693062414 | Fit Err 0.004812109794720737"
"","","","","","Individuo 3 | Fitness 0.08992722015620008 | Fit Err 0.004042553240309278"
"","","","","","Individuo 4 | Fitness 0.09409903885987424 | Fit Err 0.004426373616787462"
"","","","","","Individuo 5 | Fitness 0.09343888930930924 | Fit Err 0.00436447867878558"
"","","","","","Individuo 6 | Fitness 0.08881525626490533 | Fit Err 0.003943186770137754"
"","","","","","Individuo 7 | Fitness 0.0883161739288948 | Fit Err 0.003898990176980111"
"","","","","","Individuo 8 | Fitness 0.0986395393799453 | Fit Err 0.004863893019150091"
"","","","","","Individuo 9 | Fitness 0.09441587629131307 | Fit Err 0.004456234739165354"
"","","","","","Best fitness: 0.0883161739288948"
"","","","","","Geracao: 25 de 1000"
"","","","","","Individuo 0 | Fitness 0.08663476740970832 | Fit Err 0.003751925164393033"
"","","","","","Individuo 1 | Fitness 0.09045801691706253 | Fit Err 0.004090421882114614"
"","","","","","Individuo 2 | Fitness 0.09225749803803164 | Fit Err 0.004254800447138326"
"","","","","","Individuo 3 | Fitness 0.08691344183363656 | Fit Err 0.0037761041012661263"
"","","","","","Individuo 4 | Fitness 0.08664369567152258 | Fit Err 0.0037526986128529954"
"","","","","","Individuo 5 | Fitness 0.09420495384114873 | Fit Err 0.00443634466456807"
"","","","","","Individuo 6 | Fitness 0.09692890007008655 | Fit Err 0.004696636595397712"
"","","","","","Individuo 7 | Fitness 0.09038010730503311 | Fit Err 0.0040833781471616"
"","","","","","Individuo 8 | Fitness 0.08805121950089088 | Fit Err 0.003875628165602025"
